Altitude (m),Distance (m)
728,0
728,194.67
733,171.32
724,128.82
740,148.06
736,74.97
728,121.41
710,124.03
699,125.37
695,108.81
690,49.72
685,32.13
678,31.42
671,37.33
662,105.44
657,103.43
656,86.72
663,72.01
674,85.05
679,98.53
675,95.58
678,78.16
698,141.14
715,85.69
720,34.86
720,4.23
723,24.19
725,31.3
727,23.1
728,7.77
729,10.13
729,20.9
728,1.91
